,id,name,description,pic_url,total_comics,total_series,total_stories,total_events
1011148,1011148,Kree,,http://i.annihil.us/u/prod/marvel/i/mg/8/50/53a0b4b5c40f1.jpg,24,17,26,1
1010876,1010876,Mongoose,,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c00359f53bde.jpg,2,2,3,0
1010883,1010883,Wrecking Crew,,http://i.annihil.us/u/prod/marvel/i/mg/c/60/528d35dc8db1d.jpg,15,10,16,1
1011057,1011057,Slapstick,"Steven Harmon's powers have been described as ""all of the abilities of a Saturday morning cartoon character.""",http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c00310b887bc.jpg,32,10,35,5
1009591,1009591,Silver Samurai,Keniuchio Harada is the mutant son of the former Japanese crimelord Shingen Harada.,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c003c13058bd.jpg,39,22,32,0
1011084,1011084,Starfox,"The youngest son of Mentor and Sui-San, Eros had the natural ability to excite pleasure in others, but his power had no effect upon his mutant older brother, Thanos, who worshiped the cosmic embodiment of Death and led an army against Titan.",http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0030cbcba98.jpg,38,15,41,1
1011093,1011093,Shi'Ar,,http://i.annihil.us/u/prod/marvel/i/mg/8/00/53a1c0e5a1f00.jpg,16,10,16,1
1009630,1009630,Johnny Storm,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,27,15,40,3
1011199,1011199,Ezekiel,,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c002f2268bd4.jpg,8,3,8,0
1011432,1011432,Enchantress (Sylvie Lushton),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,2,2,0
1010887,1010887,Bulldozer,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,7,4,8,0
1010886,1010886,Piledriver,,http://i.annihil.us/u/prod/marvel/i/mg/e/e0/4ce5a3bf4b3c4.jpg,6,3,5,0
1010885,1010885,Thunderball,"Dr. Eliot Franklin was a genius-level physicist who was forced to turn to crime and helped form the Wrecking Crew alongside the Wrecker, Bulldozer and Piledriver.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,14,10,13,1
